data,valor
2021-07-01,96.41324
2021-08-01,97.01472
2021-09-01,96.97218
2021-10-01,97.48429
2021-11-01,99.01672
2021-12-01,99.26961
2022-01-01,97.38057
2022-02-01,98.47223
2022-03-01,99.54249
2022-04-01,99.70731
2022-05-01,99.66125
2022-06-01,99.50902
2022-07-01,101.40193
2022-08-01,101.08891
2022-09-01,101.12862
2022-10-01,101.41491
2022-11-01,100.65845
2022-12-01,100.40662
2023-01-01,100.0342
2023-02-01,103.13725
2023-03-01,103.07969
2023-04-01,104.39209
2023-05-01,102.4527
2023-06-01,102.38458
2023-07-01,102.85104
2023-08-01,102.46061
2023-09-01,102.45957
2023-10-01,102.76867
2023-11-01,103.50725
2023-12-01,104.60164
2024-01-01,104.36616
2024-02-01,104.77546
2024-03-01,104.67932
2024-04-01,105.29942
2024-05-01,105.65618
2024-06-01,106.56379
2024-07-01,106.93371
2024-08-01,107.10953
2024-09-01,107.95354
2024-10-01,108.14132
2024-11-01,107.8805
2024-12-01,107.03793
2025-01-01,108.061
2025-02-01,108.89713
2025-03-01,110.15491
2025-04-01,110.48319
2025-05-01,109.07597
2025-06-01,108.83859
2025-07-01,108.3827
2025-08-01,108.79409
2025-09-01,108.702
2025-10-01,108.69299
2025-11-01,109.18883
2025-12-01,109.17297
2026-01-01,110.0311
2026-02-01,110.98976
2026-03-01,110.24204
