indicador,periodo,valor,unidade,nota
IPCA,var_mes,0.67,%,Variacao mensal abr/2026 (SGS 433)
IPCA,var_ano,2.60,%,Acumulado jan-abr/2026 via produtorio (SGS 433)
IPCA,var_12m,4.39,%,Acumulado 12 meses mai/2025-abr/2026 via produtorio (SGS 433)
Cambio,valor_atual,5.0569,R$/US$,Ultimo fechamento disponivel 2026-05-29 (SGS 1)
Cambio,var_mes,1.17,%,Variacao vs ~30 dias atras (2026-04-29 = 4.9985) (SGS 1)
Cambio,var_ano,-8.10,%,Variacao vs fechamento 2025-12-31 (5.5024) (SGS 1)
Selic,valor_atual,14.5,% a.a.,Meta Selic em 2026-06-01 (SGS 432)
IBC-Br,var_mes,-0.67,%,Variacao mensal serie SA mar/2026 vs fev/2026 (SGS 24364)
IBC-Br,var_ano,9.62,%,Variacao nivel original mar/2026 vs dez/2025 (SGS 24363)
IBC-Br,var_12m,3.07,%,Variacao nivel original mar/2026 vs mar/2025 (SGS 24363)
